LLR-ID,SR-Refs,Title,Module,CodeSymbol,Detail,Rationale,TestRefs,Status,Component,Phase
LLR-039,SR-042,OKF bundle emitter,project-trajectory/scripts/gen_okf.py,emit/concept/_doc_title_and_summary/on_disk,"emit() builds {relpath: content} for every real row (sorted, deterministic, no timestamps): frontmatter via JSON-quoted YAML scalars, bodies carrying the row prose plus up/down markdown links from locally built reverse maps, per-tier and root indexes, the UPSTREAM.md spec pin; on_disk() snapshots docs/okf for the byte-compare; write mode writes-if-changed and prunes; small loaders duplicated per the F5 rule (no new sibling import). Layer B2 adds a process-guides tier: _doc_title_and_summary derives each guide title+summary from the doc first heading/paragraph (inline links stripped so nothing dangles), emitted only after the vacuity gate so a fresh scaffold stays vacuous.",,(see TC-042),Verified,CMP-002,1
LLR-040,SR-043,Subagent spawn gate,project-trajectory/scripts/subagent_gate.py,decide/main,"Pure decide(tool_name, policy, override) -> allow|ask|deny|defer over SPAWN_TOOLS={Task,Agent}; main reads the PreToolUse JSON payload, reads docs/subagent-gate via the shared declared-line parse, applies the SUBAGENT_GATE=allow override, emits permissionDecision (deny -> exit 2), and appends each decision to docs/subagent-gate.log; any exception fails OPEN (allow) and logs, so a broken gate never wedges the agent's tools.",,(see TC-043),Verified,CMP-004,1
LLR-041,SR-073,IF-tier integrity,project-trajectory/scripts/trace.py,interface_findings/integrity_findings,"Loads interfaces.csv; validates IF ids, SR back-links and Component tags, and emits the best-effort endpoint-module advisory.",,(see TC-044),Verified,CMP-001,1
LLR-042,SR-074,Architecture-connectivity coverage warns,project-trajectory/scripts/check_trajectory.py,interface_findings/arch_inventory,"Emits opt-out warn-first findings for missing endpoints/directions, uncited Active seams, and dangling Contracts citations without changing exit status.",,(see TC-080),Verified,CMP-001,1
LLR-043,SR-112,Cross-agent skill fan-out drift check,project-trajectory/scripts/gen_skills_index.py,check_agent_sync,"gen_skills_index.check_agent_sync byte-compares each per-agent <agent>/skills/<name>/ file (.claude/.gemini/.agents) to the neutral project-trajectory/skills/<name>/ source; a copy that diverges is a --check-agents finding with a one-command fix, an orphan copy (no source) a non-failing warn, a source skill missing from a subset dir no finding. Vacuous without a source or per-agent dir; wired as the check.py skills-sync step + pre-commit floor (kit-only generator, so a scaffold no-ops). bootstrap.sync_agent_skills (--sync) force-refreshes only the <agent>/skills/<name>/ subtree from source.",,(see TC-045),Verified,CMP-002,1
LLR-044,SR-079,Agent pair-row routing,project-trajectory/scripts/agent_route.py,load_registry/resolve_enabled/parse_env/select,"Parses pair rows and enable tokens; resolves versions; merges Env; selects by tier, family, cooldown, and order with legacy Provider compatibility.",,(see TC-046),Verified,CMP-004,1
LLR-045,SR-080,Managed review dispatch,project-trajectory/scripts/agent_loop.py,main/reviewer_prompt/phase_tier,"Schedules review-policy sessions in managed mode, constructs redacted prompt-map briefs, parses verdicts, logs selections, and preserves unmanaged behavior.",,(see TC-082),Verified,CMP-004,1
LLR-046,SR-081,Review substance scorer,project-trajectory/scripts/score_reviews.py,substance/fired_tripwires/record_round,Computes advisory substance components and decay history; treats tripwires as gates and never rewards length.,,(see TC-083),Verified,CMP-004,1
LLR-047,SR-046,Run capability menu reader,project-trajectory/scripts/run_menu.py,load_capabilities/interactive_menu/direct/launch,"load_capabilities parses the docs/stack.ini [run] section (configparser, interpolation=None, case-preserving optionxform; declaration order kept; a name.desc row attaches to its command and an orphan or empty-value command is dropped) into an ordered (name, command, desc) list; --list prints name<TAB>desc per row; direct(name) launches by exact-match name (exit 2 on an unknown name) and launch() runs the shell line via subprocess shell=True, passing the child exit code straight through; interactive_menu prints the numbered menu, reads a pick from stdin, and returns EOF-safe without hanging; an absent or empty [run] prints guidance and exits 1. The run.* launchers are thin delegates forwarding their args to run_menu.py.","The command being run is the user's own declared line, so shell=True is the same trust boundary the declaration already establishes rather than a new one. EOF-safety is load-bearing: a menu that blocks on a closed stdin turns an unattended invocation into a hang, which is the failure this launcher exists to avoid.",(see TC-047),Verified,CMP-005,1
LLR-048,SR-084,Independent critique dispatch,project-trajectory/scripts/agent_loop.py,load_critique_srs/build_scope_srs/critique_brief/critique_prompt,Detects Critique-scoped builds and assembles a fresh family-heterogeneous rubric/intent/artifact brief with no self-assessment.,,(see TC-048),Verified,CMP-004,1
LLR-049,SR-087,Bounded software top view,project-trajectory/scripts/check_trajectory.py,component_top_view/component_findings/module_components/load_cmps/_cmp_roots,"Derives component roots and uncontained modules; enforces TOP_VIEW_MAX with nesting, opt-out, and vacuity rules.",,(see TC-049),Verified,CMP-001,1
LLR-050,SR-049,Derived-gate computation + hybrid cache,project-trajectory/scripts/derive_gate.py,compute,"Per-artifact gate rules (sr_gate/maturity_gate/sn_gate) + min-aggregation over in-scope artifacts + the cached docs/gate (basis line + --check rot guard, legacy value-only); the derived current phase (max over ratified rows via phase_num) rides the basis line and --print, the phase analogue of the derived gate. is_modified is recognized (F5-mirrored from trace.py, pinned by test_rule_sync) and counted across SR/LLR/TC onto the compared basis line as modified=N beside drafts=N - a surfacing count only, no gate arithmetic (a Modified SR reads G2 through the existing decomposed-unverified rung of sr_gate; maturity_gate stays Draft-only so a Modified child never caps).",,(see TC-050),Verified,CMP-001,1
LLR-051,SR-050,Process reference tab,project-trajectory/scripts/gen_trajectory.py,process_panel/build_html,"Renders the Process tab as a fully self-contained conditional panel registered in build_html (the Knowledge-tab pattern: nav button + section id=process): (1) the artifact-lifecycle x gates panel derived from the live registries + docs/gate (current-gate highlight; per-tier counts from the spine), (2) the resume-loop panel (the managed agent_loop flow with its escalation edges), (3) the slices -> phase -> gates panel derived from the WI registry (docs/work/); links out to the process masters wherever a canonical home exists (bounded in-view restatement only where no single doc states the relationship); sorted inputs, no clocks; a data-less repo renders byte-identically; --check unchanged (the trajectory-map step).",,(see TC-051),Verified,CMP-002,2
LLR-052,SR-089,Tiered When roadmap,project-trajectory/scripts/gen_trajectory.py,when_view/_wi_phases,"Builds phase/workstream/WI tiers by threshold, surfaces delivery Phase, and aggregates parent edges from deduplicated child edges.",,(see TC-052),Verified,CMP-002,2
LLR-055,SR-054,Dashboard usability rendering,project-trajectory/scripts/gen_trajectory.py,build_html/_nav/when_view,"Adjudicated against the usability rubric (docs/rubrics/dashboard-usability.md) by the SR-084/SR-085 critique loop: labels stay readable at default zoom with no clipped or overlapping text, and the reading experience the rubric's remaining anchors describe. Byte-deterministic; --check unchanged. This row keeps ONLY what a test cannot pin: the mechanized cores have left for child rows that name the tests owning them — T2 start-collapse (LLR-099/TC-102), T3 breadcrumb-restores-parent (LLR-100/TC-103, the whole anchor, no residue here) and T1 labelled entry (LLR-115/TC-120, the whole anchor, no residue here). Do NOT restate a child's claim here: an anchor lives in exactly one row.","A critique that re-judges what a test already enforces spends its budget twice and can disagree with the harness, so an anchor whose bar becomes operational leaves this row entirely rather than being kept as a duplicate. T3 and T1 are the two that left whole: a critique cannot verify T3's return path from a static shot set while a test can click the crumb, and T1's 'obvious' was always glossed as labelled-not-unlabelled, which is mechanizable once written that way.",(see TC-055),Verified,CMP-002,3
LLR-056,SR-055,Process tab intake + human-decision loop panels,project-trajectory/scripts/gen_trajectory.py,process_panel/_loop_panel,"Extends SR-050's process_panel with the project's two circular working loops as linked flow panels: (A) the intake loop - owner/agent intake -> triage into work items with spec detail -> the scheduler-derived ready frontier in the WI registry (docs/work/) -> build/review -> merge; (B) the human-decision loop - open-items population (incl. the gate-ratification table) -> human review and ruling -> the log's Decisions record -> merge - with the LLM_Agent entry node rendered once and shared by both loops. Each stage links to its canonical home (status.md, the WI registry (docs/work/), open-items.html, log.md); data-derived where a canonical source exists; a data-less repo renders byte-identically; --check unchanged (the trajectory-map step).",,(see TC-056),Verified,CMP-002,3
LLR-057,SR-056,"Decomposition render polish (columns, arrows, persistent hover)",project-trajectory/scripts/gen_trajectory.py,when_view/_tier_column/_svg_node,"Polishes the tiered decomposition render: each tier column is sized no wider than its content within a declared bound (a per-tier max-width cap MAX_TIER_COL, not the current uniform column); one horizontal parent->child arrow is drawn per containment edge so containment is explicit rather than implied by nesting alone; and the hover/focus highlight persists on the last-hovered item until another takes it (a stateful highlight keyed to the last-hovered node id, killing the flash-on-exit). Self-contained, byte-deterministic; --check unchanged. Composes with SR-089's tiering without changing its >3 thresholds.",,(see TC-057),Verified,CMP-002,3
LLR-058,SR-057,WI-DAG frontier + deterministic traincar ordering,project-trajectory/scripts/schedule.py,ready/frontier/order_traincars,"Derives the dependency-ready frontier from the WI registry + dispatcher reservations (never prose), excludes blocked/deferred/reserved/protected-/exclusive-conflicting WIs with reason codes, and exposes ready --explain / --format json and simulate --jobs N.",,(see TC-058),Verified,CMP-004,4
LLR-059,SR-093,Pure safety classifier,project-trajectory/scripts/schedule.py,classify/safety_class,Maps declared safety and policy inputs to one scheduling class and deterministic reason codes without side effects.,,(see TC-059),Verified,CMP-004,4
LLR-060,SR-059,next-wi/run-phase retirement + generated status/run-state,project-trajectory/scripts/agent_dispatch.py,generate_status/dispatch_run,Deletes docs/next-wi + docs/run-phase and every live dependency across agent_loop/prompts/checks/bootstrap/process/tests; translates no former next-wi content into Priority.,,(see TC-060),Verified,CMP-004,4
LLR-061,SR-060,Explicit WI/train/worktree worker assignment,project-trajectory/scripts/agent_loop.py,assign_worker/worker_prompt,Replaces internal --track assumptions with explicit --wi/--train/worktree assignment; assembles the worker prompt from AGENTS.md + WI row + SpecRef + predecessor context + train diff + rework finding (never status.md/next-wi); collision-safe per-assignment logs/review evidence naming the exact reviewed commit; the --track lane machinery is retired outright.,,(see TC-061),Verified,CMP-004,4
LLR-062,SR-061,Dispatcher + worktree pool + atomic reservations,project-trajectory/scripts/agent_dispatch.py,dispatch_run/reserve_traincar/pack_traincars/dual_plan_disposition,agent-resume dispatcher/integrator with --jobs (default 2)/auto/AGENT_JOBS; reconcile->gate->build-out launch; packs the frontier into traincars and dispatches dependency-clear ones to free workers.,,(see TC-062),Verified,CMP-004,4
LLR-063,SR-062,Traincar continuation + fork/join + release-on-end,project-trajectory/scripts/agent_loop.py,continue_train/fork_join,"Continues a lane onto the reserved traincar's single hard successor while conditions hold (classifier permits, cap default 4); a fork integrates the parent then splits, a join starts from the combined HEAD.",,(see TC-063),Verified,CMP-004,4
LLR-064,SR-096,Serialized train composition,project-trajectory/scripts/agent_dispatch.py,integrate_train/cas_ref,"Applies and reviews one train through the serialized writer, regenerates authority, runs the combined bar, and CAS-advances integration.",,(see TC-064),Verified,CMP-004,4
LLR-065,SR-099,Git evidence enumeration,project-trajectory/scripts/agent_dispatch.py,dispatch_run/reservation_meta/train_branch_evidence,"Enumerates durable reservations, train commits, integration refs, and publication intents before choosing or initializing authority.",,(see TC-065),Verified,CMP-004,4
LLR-066,SR-065,Parallel telemetry + downstream migration/audits,project-trajectory/scripts/agent_dispatch.py,telemetry_summary/assess_migration/resolve_ceiling,"Reason-coded events aggregated by (train, WI, session) + a lanes/frontier/queue/ceiling banner.",,(see TC-066),Verified,CMP-004,4
LLR-067,SR-076,Cross-component import coverage,project-trajectory/scripts/check_trajectory.py,cross_component_findings/arch_inventory,"Joins imports, component membership, and declared seams; reports uncovered cross-component edges with strict/plain and vacuity rules.",,(see TC-067),Verified,CMP-001,1
LLR-068,SR-077,Spec interface-section validation,project-trajectory/scripts/check_trajectory.py,spec_interface_findings/_spec_interfaces_section/_proposed_rationale_present,"Validates armed spec interface ids, Proposed rationale, and the intra-module escape with warn-first/strict severity.",,(see TC-068),Verified,CMP-001,1
LLR-069,SR-078,Rival-plan coverage comparison,project-trajectory/scripts/plan_coverage.py,parse_goal/parse_plan/check_plan/find_cycle/format_report,Parses rival plan tables; resolves clause/SR/IF coverage; validates dependencies; emits pairwise differences and distinct findings/malformed/absent-registry outcomes.,,(see TC-069),Verified,CMP-001,1
LLR-070,SR-102,Typed dual-plan round lifecycle,project-trajectory/scripts/plan_round.py,new_round/ready_steps/record/disposition/page_action,"Implements typed round steps, spend and action caps, position-swapped agreement, persistence, and PAGE mapping.",,(see TC-070),Verified,CMP-004,4
LLR-071,SR-103,Allowlist-only dual-plan briefs,project-trajectory/scripts/plan_briefs.py,build_surface/assemble/load_template/strip_dispatcher_block/HAT_KEYS,Builds planner/critic/arbiter briefs only from SR/IF registries with strict template slots and override/fallback loading.,,(see TC-071),Verified,CMP-004,4
LLR-072,SR-083,Dual-plan planner pair and fallback,project-trajectory/scripts/agent_route.py,planner_pair/planner_fallback,Selects two fresh planner sessions across families where possible and applies the bounded nonresponse fallback with reason codes.,,(see TC-072),Verified,CMP-004,1
LLR-073,SR-104,Coverage-step result adapter,project-trajectory/scripts/plan_coverage_step.py,run_coverage/to_record_kwargs/_implicated_plans,"Converts coverage CLI results and report payload into clean, implicated-repair, repeated-failure, or malformed round records.",,(see TC-073),Verified,CMP-004,4
LLR-074,SR-105,Dual-plan artifact persistence and filer,project-trajectory/scripts/plan_artifacts.py,allocate_round_dir/write_stage/file_selected_wis/append_log_summary/parse_plan_wis,Allocates stable round/stage artifacts and appends registry-valid selected child WIs with mapped predecessors and preserved line endings.,,(see TC-074),Verified,CMP-004,4
LLR-075,SR-069,Generated-status source-of-truth guard,project-trajectory/scripts/check_trajectory.py,status_forward_only_findings,"Finds done WI tokens only in hand-edited status.md, with plain/strict severity, and stands down for the generated marker, open/unknown ids, opt-out, and absent status.",,(see TC-075),Verified,CMP-001,1
LLR-076,SR-106,Fresh-session dual-plan runner,project-trajectory/scripts/plan_runner.py,run_dual_plan_round/_dp_routes/_dp_session,"Runs planners, cross-critiques, bounded revisions and position-swapped arbiters as fresh sessions; selects only true-plan agreement.",,(see TC-076),Verified,CMP-004,4
LLR-077,SR-068,WI row coherence,project-trajectory/scripts/check_trajectory.py,ssot_findings/spec_ref_findings,Enforces Deliverable iff done on every run and resolvable open-WI SpecRef under strict mode.,,(see TC-077),Verified,CMP-001,1
LLR-078,SR-071,Conditional architecture and knowledge views,project-trajectory/scripts/gen_trajectory.py,sw_modules/cmp_rows/know_graph/_okf_nodes,Renders software/component and OKF views only when their source bundles exist; omits each otherwise.,,(see TC-078),Verified,CMP-002,1
LLR-079,SR-072,Deterministic responsive dashboard freshness,project-trajectory/scripts/gen_trajectory.py,main/_asof/ASOF_RE,Produces deterministic responsive HTML.,,(see TC-079),Verified,CMP-002,1
LLR-080,SR-075,Declared-interface graph rendering,project-trajectory/scripts/gen_trajectory.py;project-trajectory/scripts/gen_arch_map.py,sw_graph/build_html;build_module_map,Renders IF-labeled seams in dashboard and architecture views with deterministic table fallback when absent.,,(see TC-081),Verified,CMP-002,1
LLR-081,SR-082,Fixed review escalation,project-trajectory/scripts/agent_route.py,escalate/failure_action,"Applies win-stay/lose-shift family swap, tier escalation, and gate-policy paging for shared failure, contradiction, and tripwires.",,(see TC-084),Verified,CMP-004,1
LLR-082,SR-085,Bounded critique rework,project-trajectory/scripts/agent_loop.py,main/critique_rounds/critique_failure_action,"Loops CHANGES-REQUESTED through rework and fresh critique within AGENT_CRITIQUE_MAX, then pages via gate policy.",,(see TC-085),Verified,CMP-004,1
LLR-083,SR-086,Critique verification vocabulary,project-trajectory/scripts/trace.py,VERIFICATION_VALUES/llr_exempt,Accepts Critique as a verification value while retaining the LLR completeness requirement.,,(see TC-086),Verified,CMP-001,1
LLR-084,SR-123,Critique closure ratchet,project-trajectory/scripts/check_trajectory.py,critique_staged_findings,"Warns when a Critique-scoped WI closes after CHANGES-REQUESTED with no TC, test, or rubric delta.",,(see TC-086),Verified,CMP-001,1
LLR-085,SR-088,Containerized How-SW rendering,project-trajectory/scripts/gen_trajectory.py,sw_containment/sw_graph,"Renders nested component membership and boundary-aggregated seams, falling back byte-identically to the flat view without containment.",,(see TC-087),Verified,CMP-002,1
LLR-086,SR-090,Tiered How-SW hierarchy,project-trajectory/scripts/gen_trajectory.py,sw_containment/_descend,Tiers component containment to modules and bounds the visible top level by TOP_VIEW_MAX.,,(see TC-088),Verified,CMP-002,2
LLR-087,SR-091,Hierarchy seam ports,project-trajectory/scripts/gen_trajectory.py,_drill_svg/_drill_edges,Attaches IF seams to visible input/output ports and aggregates cross-container seams at boundaries.,,(see TC-089),Verified,CMP-002,2
LLR-088,SR-092,One-layer hierarchy navigation,project-trajectory/scripts/gen_trajectory.py,_descend/_breadcrumb,Handles pointer and keyboard one-layer descent and breadcrumb restoration in self-contained views.,,(see TC-090),Verified,CMP-002,2
LLR-089,SR-094,Structural safety cross-check,project-trajectory/scripts/schedule.py,structural_safety/classify,"Cross-checks declarations against spine, critique, checkpoint, and dual-plan evidence; quarantines only the contradictory WI.",,(see TC-091),Verified,CMP-004,4
LLR-090,SR-095,Safety-aware traincar packing,project-trajectory/scripts/agent_dispatch.py,pack_traincars/continuation_allowed,"Packs ordinary chains, serializes protected work, isolates forced-single work, and batches only homogeneous cap-bounded spine-serial work.",,(see TC-092),Verified,CMP-004,4
LLR-091,SR-097,Serialized blocked disposition,project-trajectory/scripts/agent_dispatch.py,blocked_disposition,Commits a smaller blocker-only disposition carrying BlockRef/evidence and no review-pass claim.,,(see TC-093),Verified,CMP-004,4
