SR-ID,Title,SN-Refs,Requirement,Rationale,AcceptanceCriteria,Permutations,Priority,Verification,Status,Phase,Area,SupersededBy
SR-011,Idempotent re-runnable scaffold,SN-001;SN-007,bootstrap.py shall skip an existing file on a re-run unless --force is passed.,"Realizes SN-001 (safe drop-in onto an existing repo) and SN-007 — an adopter picking up kit updates must not lose their own edits, and a scaffolder that overwrites cannot be run twice, so it stops being run at all. Overwrite-always with a backup copy was rejected: it leaves the repo carrying a second copy of every file it touched. The deliberate kit-vs-project merge is a separate, operator-driven process (SR-036).",A re-run leaves every existing file (kit- or project-owned) byte-unchanged without --force; --force overwrites.,,M,Test,Verified,1,Scaffold generation,
SR-012,Doc navigability,SN-010,"check_docs.py shall fail on a broken intra-repo link or a missing PROJECT-VISION tag, and check generated-doc freshness under --stale.",Realizes SN-010 — documentation stays navigable and honest; a broken link or undeclared vision is a red.,check_docs.py --stale fails on a dead intra-repo link or absent PROJECT-VISION tag and passes a clean doc set.,,S,Test,Verified,1,Doc navigability,
SR-013,Runtime-flows check,SN-010,check_flows.py shall validate that the authored runtime-flow docs conform to their contract.,Realizes SN-010 — a hand-authored flow doc that drifts from its contract is caught.,check_flows.py passes a conformant flow doc and fails a malformed one.,,S,Test,Verified,1,Runtime-flows check,
SR-014,Perf comparator and budgets,SN-004;SN-012,check_perf.py shall compare a run against declared budgets and fail when a metric regresses beyond its tolerance.,Realizes SN-004 (a measurable gate bar) and SN-012 (perf is an opt-in layer).,A metric within tolerance passes; one beyond its budget's tolerance fails at the declared block/warn level.,,S,Test,Verified,1,Perf comparator + budgets,
SR-015,Performance-budget back-links,SN-002,The performance-budgets registry (PB-###) shall keep every row's Refs resolvable to a real SR/LLR/Module.,Realizes SN-002 — the off-spine budget rows stay traceable to the spine.,A PB row with an unresolvable or empty Refs is a finding; a resolvable one passes.,,S,Test,Verified,1,Perf comparator + budgets,
SR-016,No-stub detector,SN-008,check_stubs.py shall detect stub/placeholder markers in source at its declared gate and fail when one is present.,Realizes SN-008 — a green never hides a stub.,A stub/NotImplemented/pass-only public function at the declared gate fails; clean source passes.,,M,Test,Verified,1,No-stub detector,
SR-017,Always-on secrets floor,SN-009,"check_privacy.py shall scan every commit's staged diff, message, and outgoing range for secret patterns regardless of the privacy toggle, unless docs/secrets-scan is explicitly set to off.","Realizes SN-009 — a credential that reaches a shared branch must be treated as disclosed and rotated, and expunging it from history is a rewrite every clone has to follow, so the cheap moment to catch it is before the commit and the expensive one is any moment after. Folding the scan into the privacy toggle was rejected: that makes the highest-severity check opt-in alongside a preference. The one opt-out is an explicit declaration, so turning it off is a visible act.","A staged PEM header, token, or key pattern is flagged and blocks; a clean diff passes; the floor runs with privacy-check off, and is disabled only by an explicit docs/secrets-scan: off.",,M,Test,Verified,1,Secrets + privacy lint,
SR-018,Privacy gate two-axis,SN-009,"check_privacy.py shall add PII/identity classes when docs/privacy-check is on, exempting configured author identities.","Realizes SN-009 — identity and PII classes are a policy choice a repo makes about its own contributors, unlike a leaked credential, which is a defect in every repo. Making them always-on was rejected because the exemption list they need is project-specific: a repo that has not declared its author identities would have the layer firing on its own commit metadata, and the fix would be to silence the scanner rather than to configure it.","With privacy-check on, an identity/PII class is flagged unless the author is in EXEMPT_EMAILS; with it off, only the secrets floor runs.",,M,Test,Verified,1,Secrets + privacy lint,
SR-019,Pre-commit hook floor,SN-005;SN-009,"The pre-commit hook shall run the integrity + secrets floor on every commit, agent-neutrally.","Realizes SN-005 and SN-009 — a floor only CI enforces is one the local tree crosses freely, and a secret caught after the commit is already in history. Trusting the agent to run the checks was rejected: a floor exists for the times the agent forgets, so it is git-enforced and agent-neutral.",The hook runs trace --strict-integrity and the secrets scan on staged content and blocks a commit that fails either.,,M,Test,Verified,1,Git hooks,
SR-020,Pre-push hook outgoing scan,SN-005;SN-009,The pre-push hook shall scan the outgoing commit range and block a push that publishes a secret or (under privacy-check) a private identity.,Realizes SN-005 and SN-009 — the last gate before content leaves the machine.,The hook scans the push range and blocks when a secret (always) or an identity/PII class (privacy-check on) appears.,,M,Test,Verified,1,Git hooks,
SR-021,Hook python probe,SN-013,The git hooks shall locate a working python3 by running a candidate and skip-or-report clearly when none resolves or a Store-alias exits nonzero.,Realizes SN-013 — no cryptic crash when the interpreter is absent or a Windows Store alias.,"With no working python3 the hook reports clearly and does not crash; with one, it runs the checks.",,M,Test,Verified,1,Git hooks,
SR-022,Vendored-doc drift,SN-010,check_vendored.py shall detect a vendored copy of an upstream doc drifting from its source.,"Realizes SN-010 — a stale vendored doc is caught, not silently trusted.",A drifted vendored copy is a finding; an in-sync copy passes.,,S,Test,Verified,1,Vendored-doc drift,
SR-023,Arch-map generation,SN-010;SN-021,"gen_arch_map.py shall regenerate the symbol map inside its marker block and, under --check, fail when the committed map has drifted from source.",Realizes SN-010 and SN-021 — a generated view cannot silently rot; --check makes drift a red.,--check fails when the map is stale and passes when current; regeneration rewrites only the marker block.,,S,Test,Verified,1,Arch-map generation,
SR-024,Permutation case generation,SN-002,gen_cases.py shall expand a Permutations spec into concrete dimensional cases.,"Realizes SN-002 — dimensional coverage is generated from the SR's declared inputs, not hand-listed.",A spec grammar (range/set/bool with @full|@pairwise|@boundaries) yields the expected case set.,,S,Test,Verified,1,Permutation case gen,
SR-025,Skills index + checked per-agent fan-out,SN-012;SN-021,gen_skills_index.py shall regenerate skills/INDEX.csv from each SKILL.md applicability frontmatter.,"Realizes SN-012 (opt-in accelerators) and SN-021 — a hand-maintained index drifts from the skills it indexes, and an index that disagrees with its sources is worse than none, because it is trusted. Requiring each author to update the index by hand was rejected for the same reason the traceability matrix is generated: the discipline fails silently.","The regenerated INDEX.csv reflects the current SKILL.md frontmatter, and a drifted index is detectable.",,C,Test,Verified,1,Skills index + fan-out,
SR-026,Coordinator resumes headless,SN-006;SN-016,"agent_loop.py shall resume headless with stdin closed, never blocking on a prompt. Resume authority (one path - the serial resume loop is retired): a worker resumes from its explicit claimed assignment plus the committed trailer evidence on its branch, and the integrator (SR-132) derives claim/queue state from trunk history alone; docs/status.md is a generated reference surface (SR-059), never a session input.","Realizes SN-006 and SN-016 — an unattended run blocked on a prompt is indistinguishable from a hung one and holds its lane until a human notices. Keeping a separate serial resume path beside the dispatcher was rejected: two authorities over one decision drift, and the divergence surfaces as a run that resumes differently depending on how it was started.",A worker reconciles from its assignment + committed evidence and the integrator from trunk history; every mode runs with stdin closed and a prompt cannot wedge it.,,S,Test,Verified,1,Unattended coordinator,
SR-027,Coordinator preflight,SN-006;SN-015,"agent_loop.py shall refuse a broken footing in preflight — not a git repo, no agent CLI, or a private author under privacy-check — exiting a typed nonzero code rather than hanging.","Realizes SN-006 and SN-015 — a run that starts on a broken footing fails later and further from the cause, and an unattended loop cannot be asked what went wrong. Continuing with a warning was rejected: each of these conditions makes every subsequent step meaningless, so a typed nonzero exit is what lets the caller act on it.","Outside a git repo, with no agent CLI, or with a private author under privacy-check, preflight exits a typed nonzero code.",,S,Test,Verified,1,Unattended coordinator,
SR-028,Coordinator typed outcomes,SN-006;SN-019;SN-020,"agent_loop.py shall end each session in a typed outcome code, guard a zero-commit HEAD, and report an all-ERROR stall as an unavailable agent rather than a work stall.","Realizes SN-006, SN-019 and SN-020 — a coordinator ending in an untyped code forces its caller to parse prose; a session that produced no commit still has a HEAD to report, so without a guard an empty run is indistinguishable from a productive one in the record it leaves; and an all-ERROR run reported as a work stall sends a human looking for a blocked work item that does not exist. Treating an agent error as a stall was rejected for that reason: an unreachable agent and a blocked item need different responses, so they need different outcomes.",A repo with no commits does not crash the loop; an agent-CLI error is logged ERROR; an all-ERROR region is reported as an unavailable agent.,,S,Test,Verified,1,Unattended coordinator,
SR-029,Coordinator lock auto-release,SN-017,"The per-worktree coordinator lock shall be a kernel advisory lock the OS releases on process death, leaving no stale-pid wedge.","Realizes SN-017 — the dispatcher, each worker and an interactive sitting all take this lock, so a holder that dies without releasing it wedges every one of them behind an entry nobody can safely clear. A pid file plus a liveness check was rejected because it cannot decide the case it exists for: if the pid has been reused the check sees a live process and keeps a dead lock forever, and if it guesses the other way it clears a lock that is still held. A kernel advisory lock releases on process death by construction, so the question never arises.","After the lock holder dies, the next run acquires the lock; no stale-pid file blocks it.",,S,Test,Verified,1,Parallel tracks,
SR-030,Second coordinator refused,SN-018;SN-006,"agent_loop.py shall refuse a second coordinator in the same checkout, preventing a two-writer race.","Realizes SN-018 and SN-006 — two coordinators in one checkout write the same working tree, and the loser's commits interleave into the winner's diff where no review will separate them. Coordinating by convention was rejected: the failure is silent and shows up only as a garbled history.",A second coordinator on a held lock is refused; only one writer runs per checkout.,,S,Test,Verified,1,Parallel tracks,
SR-031,Declared-policy readers agree,SN-004;SN-005,"The gate-policy, push-policy, and privacy-check readers shall share one declared-value parse so the hooks, agent_loop, and check_privacy agree on the value.","Realizes SN-004 (policies drive the gate) and SN-005 (one source, every enforcer reads it the same way).",The gate-policy and push-policy readers return the first declared line; every enforcer reads the same value.,,M,Test,Verified,1,Declared-policy readers,
SR-032,Onboarding and dev-setup scaffold,SN-001,The onboarding and dev-setup templates shall scaffold and run to a green developer setup.,"Realizes SN-001 — a new contributor who cannot reach a working setup from the repo alone is blocked on whoever set it up last, and onboarding prose that is never executed drifts from the commands that work. A README checklist was rejected: nothing fails when it goes stale.",The scaffolded onboard/dev-setup scripts run to a green setup.,,S,Test,Verified,1,Onboarding + dev-setup,
SR-033,Release checklist generation,SN-004,"gen_release_checklist.py shall emit the release-gate checklist, including the warn-tier performance budgets that never fail a gate.",Realizes SN-004 — the release gate has a generated checklist surfacing the budgets a human must tick off.,Running the generator emits the checklist content: the perf-budget section lists each warn-tier PB with its id and allocation.,,S,Test,Verified,1,Release checklist,
SR-034,Scripts are stdlib-only,SN-011,Every kit script shall run on a clean Python 3.11+ with no pip installs (standard library only).,Realizes SN-011 — the kit imposes no dependency stack on a downstream repo to run its checks.,No kit script imports a third-party package; an AST scan asserts every top-level import in scripts/*.py resolves to stdlib or a local sibling.,,M,Analysis,Verified,1,Portability,
SR-035,Stack-agnostic across OSes,SN-003;SN-011,The process and ID scheme shall be stack-agnostic.,"Realizes SN-003 — a method that presumes one language is re-derived by every adopter on a different stack, and the re-derivation is where the traceability guarantees get dropped. Shipping per-stack variants was rejected: it multiplies the surface that must stay consistent.",The ID scheme is language-neutral.,,M,Analysis,Verified,1,Portability,
SR-036,Deliberate re-sync integration,SN-001;SN-007,"A re-sync of an existing adoption shall integrate relevant kit updates without clobbering the adopter's filled-in files, per ADOPTING.md section 6 — take kit-owned scripts/hooks wholesale, regenerate generated docs, and preserve filled-in registries/config.","Realizes SN-001 and SN-007 — picking up kit updates is a deliberate diff-and-merge, not a mechanical operation: bootstrap.py supplies the docs/kit-version stamp and --force (SR-011), while the operator makes the overwrite-vs-preserve call, aided by the downstream-resync skill.","Following ADOPTING.md section 6 against the docs/kit-version diff, kit-owned files are taken wholesale, generated docs regenerated, and filled-in files preserved.",,M,Inspection,Verified,1,Scaffold generation,
SR-037,Superseded: Work-item registry validation,SN-002;SN-012,"SR-037 is superseded by SR-067;SR-068;SR-069; active requirements, implementation links, and decomposition evidence shall cite the replacement rows.",Preserves the stable ratified id and its attestation history while removing composite implementation obligations.,Every listed target resolves; the supersession graph is acyclic; no LLR decomposes this row; TC-099 inspects the frozen migration map.,,M,Inspection,Verified,1,Trajectory,SR-067;SR-068;SR-069
SR-038,Superseded: Offline project-state view,SN-010;SN-021,"SR-038 is superseded by SR-070;SR-071;SR-072; active requirements, implementation links, and decomposition evidence shall cite the replacement rows.",Preserves the stable ratified id and its attestation history while removing composite implementation obligations.,Every listed target resolves; the supersession graph is acyclic; no LLR decomposes this row; TC-099 inspects the frozen migration map.,,M,Inspection,Verified,1,Trajectory,SR-070;SR-071;SR-072
SR-039,Duplicate-code lint,SN-008;SN-012,"check_dupes.py shall report any window of at least a configurable minimum of consecutive significant source tokens appearing at more than one location, and exit nonzero unless the finding's block fingerprint plus file pair (or a legacy bare file pair) is recorded in the census.","Realizes SN-008 — the one-fact-one-home rule holds for prose because a reviewer reads prose; nothing reads code for it, so duplication accumulates until a fix must be applied in places nobody can enumerate. A review-only convention was rejected as unenforceable at scale. Opt-in at the product layer so a non-adopter pays nothing. Block-fingerprinted, count-aware exemptions are the preferred form because they let NEW copy-paste inside an already-listed pair fail; the coarser legacy file-pair exemption does not, which is the cost of accepting one.",A copy-pasted helper across two files exits 1 naming both file:line locations; clean source exits 0; raising --min-tokens above the block's length passes; a docs/dupes-allow fingerprint+pair line suppresses that block while a new distinct block in the same pair still fails; --emit-census regenerates the lines.,,S,Test,Verified,1,Duplicate lint,
SR-040,Per-phase routing and review dial,SN-006;SN-016,"The unattended coordinator shall select the agent command template per in-process session phase (PLAN/BUILD/REVIEW-A/REVIEW-B/DESIGN-CHECK/CRITIQUE - the coordinator's own activity; the retired docs/run-phase file, deleted by SR-059, is not an input) via AGENT_CMD_MAP/--cmd-map, falling back to the single AGENT_CMD; surface the declared reviewer dial (docs/review-policy, default 1) at run start without enforcing it; and warn (never block) when a lane resume surface exceeds the declared size threshold.","Realizes SN-006 and SN-016 — two samples of one model share blind spots, so a review by the family that built the change agrees with it for the wrong reasons; cross-family routing is what makes the second opinion independent, and one model for every phase was rejected on that basis. Dispatch stays keyed off the in-process session phase because the alternative, a per-phase code branch, makes adding a phase a code change and so discourages adding one. The resume surface's growth tripwire warns rather than fails because a growing resume surface is a smell and not a defect, and failing on a smell trains an operator to bypass the check.",A mapped session phase invokes its own command template and the default template does not fire; a broken map entry fails preflight before iteration 1; the banner surfaces docs/review-policy; an oversized status.md warns on stderr while the run proceeds; AGENT_STATUS_WARN_BYTES=0 silences.,,M,Test,Verified,1,Unattended loop,
SR-041,Doc reference validation,SN-008;SN-010,"check_doc_refs.py shall flag a documentation reference to a repository path that does not exist and an asserted sym:<module>.<name> reference missing from the generated module-map inventory, warn-first (exit 0) with --strict gating; absent inventory skips the symbol tier cleanly.","Realizes SN-004 and SN-008 — link resolution sees a broken link but not prose naming a file that was renamed away, nor an asserted code symbol that no longer exists; both read as correct forever. Validating every backticked word was rejected as unaffordable in false positives, so only path-shaped tokens and an explicit sym: convention are checked, generated marker blocks are exempt, and a path-ok line is the escape hatch for prose that names a path deliberately absent from the tree.","A backticked repo path that does not exist warns and gates only under --strict; URLs, globs, placeholders, generated blocks and path-ok lines are ignored; a dangling sym: reference is flagged against the module map; with no inventory the symbol tier skips and the path tier still runs.",,S,Test,Verified,1,Doc currency,
SR-042,OKF knowledge-bundle export,SN-010;SN-012,"gen_okf.py shall export the spine registries AND the key process docs as a generated Open Knowledge Format bundle under docs/okf — one typed markdown concept per real row (graph as resolvable markdown links, per-tier indexes) plus a Process Guide concept per present process doc (a summary derived from that doc and a resource pointer to the unmodified source) — deterministic (no clocks), with --check failing on any stale, missing or extra bundle file; docs/okf-export off silences and placeholder-only registries are vacuous.","Realizes SN-010 and SN-012 — traceability and process knowledge held only in this repo's own formats cannot be read by anything else, so the knowledge is trapped in the tool that produced it. The export is emit-only and stdlib-only, adding no runtime dependency and no parser: introducing a parser was rejected because reading the format back would make the bundle a second source of truth that can drift from the registries, whereas a derived bundle can only be STALE, which --check detects. Leaving the source docs untouched keeps the export non-intrusive, and the dashboard's Knowledge tab (SR-038) is its first consumer, so the bundle has a reader rather than being written for nobody.","One frontmatter-typed file per real SN/SR/LLR/TC row whose graph links resolve; a Process Guide concept for each present process doc carrying a summary derived from the doc (not hand-authored) with the source left unmodified; regeneration is byte-identical; --check trips on a registry OR doc edit, a missing bundle and a hand-added file; the write mode prunes extras; off and placeholder-only registries pass silently, and process guides emit only alongside a real spine.",,M,Test,Verified,1,Knowledge export,
SR-043,Subagent spawn gate,SN-006;SN-012,"A PreToolUse subagent-spawn gate shall, during an unattended run, refuse or defer subagent spawns per docs/subagent-gate (off|ask|deny; absent=off), honor a launcher-set SUBAGENT_GATE=allow override the model cannot set, and fail open on any error so a broken gate never wedges the tools.","Realizes SN-006 (a walk-away run stays safe — bounded, supervised fan-out with the override held by the human, not the model) and SN-012 (opt-in: absent/off is a vacuous allow, so a non-adopter pays nothing). Supervision, not security — a model that can edit files can remove the hook (adapted from stop-subagent-fanout, MIT; spec docs/archive/INTEGRATION_PLAN.md Phase 4).","With docs/subagent-gate: deny a Task/Agent spawn is refused (permissionDecision=deny, exit 2); ask defers to approval; off/absent and SUBAGENT_GATE=allow allow it; a non-spawn tool is not gated; a malformed payload fails open (allow) and is logged.",,S,Test,Verified,1,Unattended coordinator,
SR-044,Superseded: Declared-interface connectivity,SN-023;SN-002,"SR-044 is superseded by SR-073;SR-074;SR-075;SR-076;SR-077;SR-078; active requirements, implementation links, and decomposition evidence shall cite the replacement rows.",Preserves the stable ratified id and its attestation history while removing composite implementation obligations.,Every listed target resolves; the supersession graph is acyclic; no LLR decomposes this row; TC-099 inspects the frozen migration map.,,M,Inspection,Verified,1,Architecture connectivity,SR-073;SR-074;SR-075;SR-076;SR-077;SR-078
SR-045,Superseded: Heterogeneous implementer/reviewer scheduling,SN-006;SN-016,"SR-045 is superseded by SR-079;SR-080;SR-081;SR-082;SR-083; active requirements, implementation links, and decomposition evidence shall cite the replacement rows.",Preserves the stable ratified id and its attestation history while removing composite implementation obligations.,Every listed target resolves; the supersession graph is acyclic; no LLR decomposes this row; TC-099 inspects the frozen migration map.,,S,Inspection,Verified,1,Unattended loop,SR-079;SR-080;SR-081;SR-082;SR-083
SR-046,Run capability menu,SN-001,"The root run.cmd/run.sh/run.command launchers shall present every major capability an evaluator runs from a single declaration - one name = command line (plus an optional name.desc line) per capability in docs/stack.ini's [run] section - via a stdlib scripts/run_menu.py that reads it: no args gives a numbered interactive menu, run_menu.py <name> launches one directly with exit-code passthrough, and --list emits a stable name<TAB>desc machine listing (the agent surface); an absent or empty [run] section prints the no-launch-command-wired-yet guidance and exits 1; the launch command is declared once (the duplicated RUN_CMD is retired) and works on Windows and POSIX.","Realizes SN-001 - the evaluator's rungs make running the product never depend on recalling a command, and the capability set is now declared once in docs/stack.ini instead of hard-wired and duplicated across the platform launchers. A new SR formalizing the launcher surface, which previously existed only as process prose.",run_menu.py --list prints one name<TAB>desc line per declared capability in declaration order; run_menu.py <name> runs that capability's command and returns its exit code; the no-arg menu launches a stdin-selected capability non-interactively and does not hang on closed stdin; an absent/empty [run] section prints guidance and exits 1; a name.desc row renders in the menu and list; the run.* launchers delegate to run_menu.py with no RUN_CMD; the scaffold ships run_menu.py plus the delegate launchers.,,S,Test,Verified,1,Onboarding + dev-setup,
SR-047,Superseded: Subjective-quality critique loop,SN-024;SN-006,"SR-047 is superseded by SR-084;SR-085;SR-086; active requirements, implementation links, and decomposition evidence shall cite the replacement rows.",Preserves the stable ratified id and its attestation history while removing composite implementation obligations.,Every listed target resolves; the supersession graph is acyclic; no LLR decomposes this row; TC-099 inspects the frozen migration map.,,S,Inspection,Verified,1,Unattended loop,SR-084;SR-085;SR-086
SR-048,Superseded: How-SW top view bounded and containerized,SN-023;SN-012,"SR-048 is superseded by SR-087;SR-088; active requirements, implementation links, and decomposition evidence shall cite the replacement rows.",Preserves the stable ratified id and its attestation history while removing composite implementation obligations.,Every listed target resolves; the supersession graph is acyclic; no LLR decomposes this row; TC-099 inspects the frozen migration map.,,S,Inspection,Verified,1,Architecture connectivity,SR-087;SR-088
SR-049,Derived gate from artifact states,SN-004;SN-008,"derive_gate.py shall compute the active gate from the spine artifact states (SN section-state + SR/LLR/TC Status maturity) and cache it to docs/gate rather than accept a hand-set value, so a gate advances only when the mechanical states do. Three Status values are recognized case-insensitively: Draft (G0 + decomposition exemptions), Verified (G3), and Modified — a post-attestation amendment owing a re-attest, deriving G2 through the existing decomposed-unverified rung with no arithmetic of its own; the cached basis line carries modified=N beside drafts=N so the pending state never hides.",SSOT applied to the gate itself (docs/specs/derived-gate-model.md): a hand-set marker can be bumped without the work; deriving it makes gate advancement mechanical (SN-004) and un-gameable (SN-008). The hybrid cache keeps the value readable on checkout; --check guards rot.,derive_gate.py --print on the meta computes the per-phase gates from the current states (a Modified SR's phase reads G2 until re-attested); --check exits nonzero when a state change is not reflected in the cached docs/gate basis; the compared line includes the modified=N count.,,M,Test,Verified,1,,
SR-050,Process reference view,SN-010;SN-021,"gen_trajectory.py shall render a Process reference tab in PROJECT_STATE.html beside the existing views, presenting how the project is built as three linked panels: (1) artifact lifecycle x gates - Vision -> SN (G1) -> SR (G1->G2) -> LLR + architecture (G2) -> TC (G2->G3) -> code+tests (G3), each stage linked to its process-doc section and annotated with this repo live tier counts; (2) the resume loop - the managed agent_loop flow (read status -> PLAN -> BUILD -> REVIEW -> INTEGRATE -> commit -> hook/gate -> repeat) with its escalation edges; (3) slices -> phase -> gates - a per-WI slice ends at the commit bar, a phase closes at the gate bar, CI runs the same bar every push. Data-derived where a canonical source exists (docs/gate, the spine registries, the WI registry (docs/work/)); self-contained and byte-deterministic; a data-less repo renders byte-identically; --check freshness unchanged.","Realizes SN-010 and SN-021 — the dashboard shows project state but not the method that produced it, so a reader sees what is happening without seeing why it is allowed to happen. Restating the process docs in-view was rejected because it creates a second home that drifts: the view links out wherever a canonical home exists and restates only relationships no single doc states. Generating it is the ideal; a static-authored panel downgrades verification to adjudication by an independent critical eye.",The Process tab renders the three panels; the current-gate highlight reflects docs/gate and the tier counts match the registries; process-doc links resolve; a bundle-/data-less repo renders byte-identically; generation is byte-deterministic and --check trips on stale output.,,C,Test,Verified,2,Trajectory,
SR-051,Superseded: Tiered drill-down views,SN-010;SN-021,"SR-051 is superseded by SR-089;SR-090;SR-091;SR-092; active requirements, implementation links, and decomposition evidence shall cite the replacement rows.",Preserves the stable ratified id and its attestation history while removing composite implementation obligations.,Every listed target resolves; the supersession graph is acyclic; no LLR decomposes this row; TC-099 inspects the frozen migration map.,,C,Inspection,Verified,2,Trajectory,SR-089;SR-090;SR-091;SR-092
SR-052,Dashboard accessibility (rubric-adjudicated),SN-024;SN-023,"PROJECT_STATE.html shall be operable and readable without a pointer or full color perception: every interactive element (tabs, expandable blocks, SVG nodes with detail panels) is keyboard-reachable and carries an accessible name (title/aria/visible text); no information is encoded by color alone (status/phase/type encodings carry a text or shape cue); text keeps readable contrast against its fill.","Realizes SN-024 and SN-023 — perceptual accessibility has no crisp measurable interface, so a row claiming a mechanized verification would assert a green that nothing actually checks. Acceptance is adjudicated by an independent critical eye against a written rubric instead. Leaving the bar unstated was rejected: an unstated accessibility bar silently reads as no bar at all.","A fresh family-heterogeneous CRITIQUE session judging the generated dashboard against docs/rubrics/dashboard-accessibility.md (authored at [v3]-[g2] from this SR's intent) returns APPROVE citing numbered anchors; keyboard reachability, accessible names, color-independent encoding, and contrast are each a rubric anchor.",,C,Test,Verified,3,Trajectory,
