name,scope,stacks,domains,phases,tags,description
render-dashboard-critique,this-repo,any,any,dev gate,dashboard screenshot playwright critique render project-state,"Use when critiquing this repo's PROJECT_STATE.html dashboard on how it RENDERS (layout, theme, legibility, responsive behavior) rather than its source — screenshot it across the declared width/theme/tab matrix, read the PNGs, and file findings as their own WIs."
render-defect-forensics,kit,python,game any,dev,rendering blender usd debugging raycast lighting materials,"Use when debugging a visual defect in a rendered scene (Blender/USD or any 3D pipeline) — verify by rendering (never by geometry math), A/B every perceptual change, and ray-cast the exact offending pixel once a defect survives two fixes."
ros2-perception-pipeline,kit,python,hardware,dev,ros2 perception tf2 pointcloud pcl open3d sensors,"Use when adding or debugging a perception node (camera, LiDAR, depth) in ROS 2 — verify the TF frame tree and time sync first, then wire sensor topics through PCL/Open3D processing to a documented output frame."
sensor-fusion-ekf,kit,python,hardware,dev,ros2 sensor-fusion ekf robot-localization odometry imu gps,"Use when estimating robot pose/odometry from multiple sensors (wheel odom, IMU, GPS, visual odom) — configure a robot_localization EKF/UKF with per-sensor state masks rather than trusting a single source."
session-protocol,this-repo,any,any,dev gate release,session improvement-plan workflow commit-style wi,"Use when running a work-item (WI) or thread session in this template repo — how to read the plan, execute only the scoped work, pass the gates, write the session/WI log, and commit in this repo's style."
sim-environment-select,kit,python,hardware,dev,simulation mujoco isaac-lab gazebo genesis sim-to-real,"Use when choosing or setting up a simulator for a robot task — match the engine to the job (MuJoCo for contact-rich manipulation, Isaac Lab for large-scale RL, Gazebo for ROS navigation) and reuse the real URDF."
sim2real-transfer,kit,python,hardware,dev gate,sim-to-real domain-randomization system-identification rl robustness,Use when a policy or controller trained/tuned in simulation must run on the real robot — close the gap with domain randomization for what you can't measure and system identification for what you can.
spine-authoring,kit,python node powershell go rust any,any,dev gate,requirements decomposition tiering derivation hats derived-requirements acceptance-criteria,"Use when breaking down or developing the SN → SR → LLR → TC spine — the adjudicator's question list per tier: what a need must carry before it is approved, what belongs at SR versus LLR versus the trace tier, when an obligation is a labelled derived requirement, and which instruments catch a distorted breakdown."
structured-output-contract,kit,python node,web data,dev,llm structured-output json-schema constrained-decoding tool-use outlines,"Use whenever an LLM's output is consumed by code (parsed, stored, or dispatched) — define a JSON Schema and enforce it with constrained decoding or strict tool-use, instead of prompt-and-hope plus regex parsing."
ui-accessible-component,kit,node,web,dev,ui accessibility react headless shadcn radix aria,"Use when building or reviewing an interactive UI widget (dialog, menu, combobox, tabs, tooltip) — compose behavior/accessibility from a headless primitive and style from design tokens instead of hand-rolling focus, keyboard, and ARIA."
urdf-model-author,kit,python,hardware,dev,ros2 urdf ros2-control robot-description kinematics tf2,"Use when creating or editing the robot's URDF/description — keep link frames, joint axes, and inertials honest and add a ros2_control block, so one description drives TF, MoveIt, simulation, and hardware alike."
webgpu-render-pipeline,kit,node,web game,dev,rendering webgpu threejs babylon shaders graphics,Use when writing or debugging real-time rendering (WebGPU or a three.js/Babylon scene) — structure the frame as explicit named passes and pick the right altitude (raw WebGPU vs scene-graph engine) before writing shader code.
